ID,UTC,LAT,LON,NSAT,WIND_DIR_LOWER,WIND_SPD_LOWER,WIND_DIR_UPPER,WIND_SPD_UPPER,STRUCT_ORIENT,PITCH_ANGLE,ROLL_ANGLE,BAT,VOLBAT
1,807174366,435458370,-56658632,7,71.0,0.000,102.0,0.600,139.6,15,25,99.4,4.181
1,807174367,435458279,-56658723,7,71.0,0.000,102.0,0.000,139.7,15,25,99.4,4.180
1,807174368,435458353,-56658774,7,71.0,0.000,102.0,0.000,139.7,15,25,99.4,4.181
1,807174369,435458296,-56658641,7,71.0,0.000,102.0,0.000,140.0,15,25,99.4,4.179
1,807174370,435458368,-56658815,7,71.0,0.000,102.0,0.000,140.0,15,25,99.4,4.179
1,807174371,435458315,-56658859,8,71.0,0.000,102.0,0.500,139.9,15,25,99.4,4.182
1,807174372,435458352,-56658950,8,71.0,0.000,102.0,0.500,140.0,15,25,99.4,4.182
1,807174373,435458327,-56658896,8,nan,nan,102.0,0.000,140.1,15,25,99.4,4.177
1,807174374,435458294,-56658911,8,71.0,0.000,102.0,0.000,140.2,15,25,99.4,4.181
1,807174375,435458206,-56658908,7,71.0,0.000,102.0,0.000,140.2,15,25,99.4,4.180
1,807174376,435458025,-56658726,7,71.0,0.000,102.0,0.000,140.0,15,25,99.4,4.180
1,807174377,435458008,-56658604,7,71.0,0.000,102.0,0.000,140.1,15,25,99.4,4.180
1,807174378,435457920,-56658686,7,71.0,0.000,102.0,0.000,140.2,15,25,99.4,4.182
1,807174379,435457714,-56658569,8,71.0,0.000,102.0,0.000,140.3,15,25,99.4,4.180
1,807174380,435457714,-56658491,8,71.0,0.000,102.0,0.000,140.3,15,25,99.4,4.182
1,807174381,435457788,-56658418,8,71.0,0.000,102.0,0.000,140.3,15,25,99.4,4.181
1,807174382,435457680,-56658521,7,71.0,0.000,102.0,0.000,140.4,15,9,99.4,4.180
1,807174383,435457567,-56658574,7,71.0,0.000,102.0,0.000,140.4,15,9,99.4,4.182
1,807174384,435457479,-56658657,7,71.0,0.000,102.0,0.000,140.5,15,25,99.4,4.177
1,807174385,435457713,-56658616,7,71.0,0.000,102.0,0.000,140.6,15,25,99.4,4.179
1,807174386,435457700,-56658741,8,71.0,0.000,102.0,0.000,140.5,15,25,99.4,4.181
1,807174387,435457768,-56658707,7,71.0,0.500,102.0,0.000,140.5,15,25,99.4,4.182
1,807174388,435457626,-56658737,8,71.0,0.000,nan,nan,140.8,15,25,99.4,4.184
1,807174389,435457622,-56658673,7,71.0,0.000,102.0,0.000,140.6,15,25,99.4,4.185
1,807174390,435457560,-56658589,7,71.0,0.500,102.0,0.000,140.7,15,25,99.4,4.184
1,807174391,435457530,-56658387,8,71.0,0.000,102.0,0.000,140.8,15,25,99.4,4.184
1,807174392,435457127,-56657909,8,71.0,0.000,102.0,0.000,140.8,15,25,99.4,4.186
1,807174393,435456952,-56657890,7,71.0,0.000,102.0,0.000,141.1,15,25,99.4,4.181
1,807174394,435456880,-56657874,7,71.0,0.000,102.0,0.000,140.9,15,25,99.4,4.185
1,807174395,435457181,-56657959,8,71.0,0.700,102.0,0.000,141.0,15,25,99.4,4.180
1,807174396,435457190,-56658133,8,71.0,0.700,102.0,0.000,141.1,15,25,99.4,4.185
1,807174397,435457399,-56658288,7,71.0,0.500,102.0,0.500,141.2,15,25,99.4,4.184
1,807174398,435457392,-56658220,8,71.0,0.000,102.0,0.000,141.2,15,25,99.4,4.186
1,807174399,435457146,-56658127,8,71.0,0.000,102.0,0.000,141.1,15,25,99.4,4.184
1,807174400,435457138,-56658027,8,71.0,0.500,102.0,0.000,141.3,15,25,99.4,4.185
1,807174401,435457229,-56658047,7,71.0,0.500,102.0,0.500,141.3,15,25,99.4,4.184
1,807174402,435457276,-56658202,7,71.0,0.500,102.0,0.000,141.3,15,25,99.4,4.182
1,807174403,435457034,-56658167,8,71.0,0.500,102.0,0.000,141.4,15,25,99.4,4.182
1,807174404,435457004,-56658173,8,71.0,0.600,102.0,0.000,141.5,15,25,99.4,4.186
1,807174405,435457230,-56658336,7,71.0,0.600,102.0,0.000,141.5,15,25,99.4,4.181
1,807174406,435457609,-56658527,7,71.0,0.600,102.0,0.000,141.5,15,25,99.4,4.181
1,807174407,435457617,-56658664,8,71.0,0.600,102.0,0.000,141.5,15,25,99.4,4.184
1,807174408,435457732,-56658506,8,71.0,0.500,102.0,0.000,141.6,15,25,99.4,4.188
1,807174409,435457850,-56658754,7,71.0,0.000,102.0,0.000,141.8,15,25,99.4,4.184
1,807174410,435457285,-56658563,7,71.0,0.000,102.0,0.000,141.7,15,25,99.4,4.185
1,807174411,435457167,-56658609,7,71.0,0.000,102.0,0.000,141.8,15,25,99.4,4.185
1,807174412,435457137,-56658574,8,71.0,0.000,102.0,0.000,141.8,15,25,99.4,4.180
1,807174413,435457139,-56658549,8,71.0,0.000,102.0,0.000,142.0,15,25,99.4,4.182
1,807174414,435457276,-56658527,8,71.0,0.000,102.0,0.000,142.0,15,25,99.4,4.184
1,807174415,435457251,-56658344,7,nan,nan,102.0,0.000,141.8,15,25,99.4,4.182
1,807174416,435457313,-56658314,8,71.0,0.000,102.0,0.000,141.8,15,25,99.4,4.180
1,807174417,435457411,-56658183,8,71.0,0.500,102.0,0.000,142.2,16,25,99.4,4.184
1,807174418,435457419,-56658338,7,71.0,0.500,102.0,0.000,142.1,16,25,99.4,4.182
1,807174419,435457367,-56658550,7,71.0,0.500,102.0,0.000,142.1,15,25,99.4,4.185
1,807174420,435457244,-56658467,7,71.0,0.000,102.0,0.000,142.3,15,25,99.4,4.181
1,807174421,435457164,-56658498,7,71.0,0.000,102.0,0.000,142.3,15,25,99.4,4.182
1,807174422,435457208,-56658575,7,71.0,0.000,102.0,0.000,142.3,15,25,99.4,4.181
1,807174423,435457317,-56658595,8,71.0,0.000,102.0,0.500,142.4,15,25,99.4,4.180
1,807174424,435457498,-56658602,8,71.0,0.700,nan,nan,142.4,15,25,99.4,4.181
1,807174425,435457269,-56658290,8,71.0,0.600,102.0,0.700,142.6,15,25,99.4,4.181
1,807174426,435457147,-56658155,7,71.0,0.600,102.0,0.600,142.6,16,25,99.4,4.180
1,807174427,435457190,-56658131,7,71.0,0.000,102.0,0.000,142.5,15,25,99.4,4.182
1,807174428,435457270,-56658227,8,71.0,0.500,102.0,0.000,142.6,15,25,99.4,4.181
1,807174429,435456990,-56658450,8,71.0,0.500,102.0,0.000,142.7,15,25,99.4,4.179
1,807174430,435456902,-56658467,8,71.0,0.000,102.0,0.000,142.8,15,25,99.4,4.180
1,807174431,435456934,-56658516,7,71.0,0.600,102.0,0.000,142.8,15,25,99.4,4.179
1,807174432,435456833,-56658379,7,71.0,0.000,102.0,0.000,142.9,15,25,99.4,4.179
1,807174433,435456821,-56658495,7,71.0,0.000,102.0,0.000,142.7,15,25,99.4,4.181
1,807174434,435456903,-56658518,8,71.0,0.000,102.0,0.000,142.8,15,25,99.4,4.182
1,807174435,435456948,-56658750,7,71.0,0.000,102.0,0.000,142.9,15,25,99.4,4.180
1,807174436,435456894,-56658495,8,71.0,0.000,102.0,0.000,143.0,15,25,99.4,4.184
1,807174437,435456947,-56658560,7,71.0,0.000,102.0,0.000,143.0,15,25,99.4,4.182
1,807174438,435457123,-56658666,8,71.0,0.000,102.0,0.000,143.1,15,25,99.4,4.180
1,807174439,435456883,-56658396,8,71.0,0.000,102.0,0.000,143.1,15,25,99.4,4.181
1,807174440,435456905,-56658115,7,71.0,0.000,102.0,0.000,143.0,15,25,99.4,4.181
1,807174441,435457018,-56658335,8,71.0,0.000,102.0,0.000,143.1,15,25,99.4,4.176
1,807174442,435457202,-56658261,7,71.0,0.000,102.0,0.000,143.1,15,25,99.4,4.181
1,807174443,435457280,-56658203,7,71.0,0.000,102.0,0.000,143.1,15,25,99.4,4.179
1,807174444,435457337,-56658178,8,71.0,0.000,102.0,0.000,143.2,15,25,99.4,4.180
1,807174445,435457371,-56658266,8,71.0,0.500,102.0,0.000,143.1,15,25,99.4,4.180
1,807174446,435457481,-56658213,7,71.0,0.600,102.0,0.000,143.1,15,25,99.4,4.182
1,807174447,435457601,-56658325,8,71.0,0.500,102.0,0.600,143.1,15,25,99.4,4.188
1,807174448,435457605,-56658382,7,71.0,0.500,102.0,0.500,143.3,15,25,99.4,4.182
1,807174449,435457493,-56658282,7,71.0,0.500,102.0,0.000,143.4,15,25,99.4,4.182
1,807174450,435457414,-56658216,8,71.0,0.700,102.0,0.800,143.4,15,25,99.4,4.181
1,807174451,435457424,-56658292,7,64.0,1.000,102.0,0.700,143.6,15,25,99.4,4.184
1,807174452,435457321,-56658168,8,73.0,1.000,102.0,0.600,143.6,16,25,99.4,4.181
1,807174453,435457460,-56658337,8,79.0,0.900,102.0,0.800,143.4,15,25,99.4,4.182
1,807174454,435457326,-56658065,7,79.0,0.700,102.0,0.700,143.5,15,25,99.4,4.184
1,807174455,435457474,-56657971,8,79.0,0.000,102.0,0.000,143.6,15,25,99.4,4.181
1,807174456,435457256,-56658063,7,79.0,0.500,102.0,0.700,143.7,15,25,99.4,4.182
1,807174457,435457141,-56658004,7,nan,nan,102.0,0.500,143.7,15,25,99.4,4.182
1,807174458,435457123,-56658270,7,79.0,0.000,102.0,0.000,143.7,15,25,99.4,4.184
1,807174459,435457208,-56658345,7,79.0,0.500,102.0,0.000,143.8,15,25,99.4,4.184
1,807174460,435457361,-56658405,7,79.0,0.000,nan,nan,143.8,15,25,99.4,4.182
1,807174461,435457329,-56657968,8,79.0,0.000,102.0,0.500,143.7,15,25,99.4,4.184
1,807174462,435457387,-56658106,7,79.0,0.000,102.0,0.000,143.7,15,25,99.4,4.182
1,807174463,435457190,-56657866,7,79.0,0.000,102.0,0.000,143.9,15,25,99.4,4.184
1,807174464,435457395,-56657938,8,79.0,0.000,102.0,0.000,144.0,16,25,99.4,4.182
1,807174465,435457357,-56657976,7,79.0,0.000,102.0,0.000,144.0,15,25,99.4,4.185
1,807174466,435457376,-56658014,7,79.0,0.000,102.0,0.000,144.0,15,25,99.4,4.186
1,807174467,435457259,-56657818,8,79.0,0.000,102.0,0.000,144.1,15,25,99.4,4.184
1,807174468,435457282,-56657780,7,79.0,0.000,102.0,0.000,144.0,15,25,99.4,4.184
1,807174469,435457475,-56657871,7,79.0,0.500,102.0,0.000,144.0,15,25,99.4,4.182
1,807174470,435457631,-56657947,7,79.0,0.000,102.0,0.000,144.1,15,25,99.4,4.184
1,807174471,435457594,-56658018,7,79.0,0.800,102.0,0.500,144.1,15,25,99.4,4.182
1,807174472,435457453,-56658047,8,79.0,0.800,102.0,0.600,144.1,15,25,99.4,4.185
1,807174473,435457311,-56657910,7,79.0,0.800,102.0,0.700,144.0,15,25,99.4,4.180
1,807174474,435457377,-56657889,7,79.0,0.700,102.0,0.800,144.3,16,25,99.4,4.186
1,807174475,435457391,-56657938,7,51.0,1.100,102.0,0.700,144.2,16,25,99.4,4.184
1,807174476,435457326,-56657628,7,52.0,0.900,102.0,0.700,144.1,15,25,99.4,4.182
1,807174477,435457393,-56657437,7,52.0,0.800,102.0,0.500,144.1,15,25,99.4,4.184
1,807174478,435457570,-56657362,7,52.0,0.600,102.0,0.500,144.1,15,25,99.4,4.181
1,807174479,435457712,-56657639,8,52.0,0.600,102.0,0.000,144.1,15,25,99.4,4.181
1,807174480,435457663,-56657699,7,52.0,0.600,102.0,0.500,144.2,15,25,99.4,4.180
1,807174481,435457487,-56657621,7,52.0,0.700,102.0,0.500,144.4,15,25,99.4,4.180
1,807174482,435457410,-56657518,7,52.0,0.600,102.0,0.500,144.1,15,25,99.4,4.180
1,807174483,435457248,-56657505,8,52.0,0.000,102.0,0.000,144.3,16,25,99.4,4.180
1,807174484,435457125,-56657580,7,52.0,0.000,102.0,0.000,144.3,15,25,99.4,4.180
1,807174485,435457164,-56657597,6,52.0,0.000,102.0,0.000,144.2,15,25,99.4,4.182
1,807174486,435457060,-56657525,7,52.0,0.000,102.0,0.000,144.3,15,25,99.4,4.181
1,807174487,435457067,-56657769,7,52.0,0.000,102.0,0.000,144.3,15,25,99.4,4.179
1,807174488,435457263,-56657719,7,52.0,0.000,102.0,0.500,144.3,15,25,99.4,4.179
1,807174489,435457281,-56657704,7,52.0,0.000,102.0,0.000,144.3,15,25,99.4,4.181
1,807174490,435457302,-56657606,7,52.0,0.000,102.0,0.000,144.5,15,25,99.4,4.181
1,807174491,435457381,-56657670,7,52.0,0.000,102.0,0.000,144.2,15,25,99.4,4.177
1,807174492,435457260,-56657577,7,52.0,0.000,102.0,0.000,144.4,15,25,99.4,4.180
1,807174493,435457214,-56657491,7,52.0,0.000,102.0,0.000,144.7,15,25,99.4,4.182
1,807174494,435457328,-56657713,7,52.0,0.600,102.0,0.000,145.1,16,25,99.4,4.179
1,807174495,435457049,-56657539,7,52.0,0.700,102.0,0.000,144.5,15,25,99.4,4.180
1,807174496,435456859,-56657435,7,52.0,0.600,102.0,0.000,144.8,15,25,99.4,4.180
1,807174497,435456701,-56657423,7,52.0,0.500,102.0,0.000,144.8,15,25,99.4,4.180
1,807174498,435456610,-56657474,7,52.0,0.500,102.0,0.000,144.9,15,25,99.4,4.181
1,807174499,435456816,-56657674,7,nan,nan,102.0,0.000,145.0,15,25,99.4,4.179
1,807174500,435456616,-56657585,7,52.0,0.000,nan,nan,144.8,15,25,99.4,4.182
1,807174501,435456465,-56657736,7,52.0,0.000,102.0,0.000,144.8,15,25,99.4,4.181
1,807174502,435456592,-56657708,7,52.0,0.000,102.0,0.000,145.2,15,25,99.4,4.181
1,807174503,435456639,-56657621,7,52.0,0.000,102.0,0.000,145.2,15,25,99.4,4.182
1,807174504,435456798,-56657608,7,52.0,0.000,102.0,0.000,145.0,15,25,99.4,4.182
1,807174505,435457242,-56657802,7,52.0,0.000,102.0,0.000,145.1,15,25,99.4,4.182
1,807174506,435457084,-56657703,7,52.0,0.000,102.0,0.000,145.3,15,25,99.4,4.182
1,807174507,435457265,-56657844,7,52.0,0.000,102.0,0.000,145.4,15,25,99.4,4.182
1,807174508,435457419,-56658016,6,52.0,0.000,102.0,0.000,145.3,15,25,99.4,4.185
1,807174509,435457721,-56658245,7,52.0,0.000,102.0,0.000,145.4,15,25,99.4,4.185
1,807174510,435457530,-56658234,7,52.0,0.000,102.0,0.000,145.3,15,25,99.4,4.185
1,807174511,435457567,-56658210,7,52.0,0.000,102.0,0.000,145.4,15,25,99.4,4.186
1,807174512,435457558,-56658223,7,52.0,0.000,102.0,0.000,145.5,15,25,99.4,4.185
1,807174513,435457393,-56657978,7,52.0,0.000,102.0,0.000,145.6,15,25,99.4,4.185
1,807174514,435457559,-56658033,8,52.0,0.000,102.0,0.000,145.6,16,25,99.4,4.184
1,807174515,435457593,-56657971,8,52.0,0.000,102.0,0.000,145.6,16,25,99.4,4.184
1,807174516,435457620,-56657886,7,52.0,0.000,102.0,0.000,145.6,16,25,99.4,4.185
1,807174517,435457663,-56657902,7,52.0,0.000,102.0,0.000,145.6,15,25,99.4,4.184
1,807174518,435457798,-56658046,7,52.0,0.000,102.0,0.000,145.7,15,25,99.4,4.184
1,807174519,435457613,-56657832,8,52.0,0.000,102.0,0.000,145.7,15,25,99.4,4.181
1,807174520,435457668,-56657727,7,52.0,0.000,102.0,0.000,145.7,15,25,99.4,4.184
1,807174521,435457782,-56657529,7,52.0,0.000,102.0,0.000,145.7,16,25,99.4,4.186
1,807174522,435457731,-56657401,7,52.0,0.000,102.0,0.000,145.8,15,25,99.4,4.184
1,807174523,435457838,-56657440,7,52.0,0.000,102.0,0.000,145.4,15,25,99.4,4.181
1,807174524,435457693,-56657456,7,52.0,0.000,102.0,0.000,146.2,16,25,99.4,4.182
