time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-08-04 08:56:26,43.556764994333,-5.62078863219353,0,Available with any HD 360 subscription,Available with any HD 360 subscription,86.531485380556,0,0,0,0,19,5,0,86.531485380556,0,0,0,0,0,0,318.8, 2.7, 2.1,Available with Enterprise subscription,,0,0,364,364,364,1684,-100,-100,-100,100,318.5,0,0,98,4.213,4.22,4.22,4.222,0,0,0,82.58,86.531485380556,0,41,Motors_Started,"Flying over vegetation."
200,2025-08-04 08:56:26,43.5567650201548,-5.6207886154323,0,,,86.531485380556,0,0,0.0104113848476,0.0104113848476,19,5,0,86.531485380556,0,0,0.0104113848476,0,0,0,318.8, 2.7, 2.1,,,0,0,364,364,364,1684,-100,-100,-100,100,318.5,0,0,98,4.213,4.22,4.22,4.222,0,0,0,82.58,86.531485380556,0,41,Motors_Started,
400,2025-08-04 08:56:26,43.5567650348869,-5.6207886077512,0,,,86.531485380556,0,0,0.0161458666584,0.0161572511732,19,5,0,86.531485380556,0,0,0.0161458666584,0,0,0,318.7, 2.7, 2.1,,,0,0,364,364,364,1684,-100,-100,-100,100,318.5,0,0,98,4.213,4.22,4.22,4.222,0,0,0,82.58,86.531485380556,0,41,Motors_Started,
600,2025-08-04 08:56:27,43.5567650283518,-5.62078862536645,0,,,86.531485380556,0,0,0.012542323236,0.021389600422,19,5,0,86.531485380556,0,0,0.0161458666584,0,0,0,318.7, 2.7, 2.1,,,0,0,1024,1024,1024,1024,0,0,0,0,318.5,0,0,98,4.213,4.22,4.22,4.222,0,0,0,82.58,86.531485380556,0,41,Motors_Started,"Setting new Return-To-Home altitude to 25m (82 ft). Data Recorder File Index is 196. Setting new Maximum Flight Altitude to 45m (148 ft)"
800,2025-08-04 08:56:27,43.5567650410869,-5.62078861031113,0,,,86.531485380556,0,0,0.0180126646184,0.0275080061296,19,5,0,86.531485380556,0,0,0.0180126646184,0,0,0,318.7, 2.7, 2.1,,,0,0,1024,1024,1024,1024,0,0,0,0,318.5,0,0,98,4.213,4.22,4.22,4.222,0,0,0,82.58,86.531485380556,0,41,Motors_Started,
1000,2025-08-04 08:56:27,43.5567650191587,-5.62078862336106,0,,,86.531485380556,0,0,0.009353838882,0.036220801684,19,5,17.021,86.531485380556,0,0,0.0180126646184,0,0,0,318.6, 2.7, 2.1,,,0,0,1024,1024,1024,1024,0,0,0,0,318.6,0,0,98,4.213,4.22,4.22,4.222,0,0,1.486,82.58,86.531485380556,0,41,Motors_Started,
1200,2025-08-04 08:56:27,43.5567649976985,-5.62078863048734,0,,,86.531485380556,0,0,0.00130813980564,0.044274279632,19,5,17.021,86.531485380556,0,0,0.0180126646184,0,0,0,318.7, 2.7, 2.1,,,0,0,1024,1024,1024,1024,0,0,0,0,318.5,0,0,98,4.213,4.22,4.22,4.222,0,0,1.486,82.58,86.531485380556,0,41,Motors_Started,
1400,2025-08-04 08:56:27,43.5567649622015,-5.62078869167981,0,,,86.531485380556,0,0,0.0196166672944,0.064998689744,19,5,17.021,86.531485380556,0,0,0.0196166672944,0,0,0,318.6, 2.7, 2.1,,,0,0,1024,1024,1024,1024,0,0,0,0,318.5,0,0,98,4.213,4.22,4.22,4.222,0,0,1.486,82.58,86.531485380556,0,41,Motors_Started,
1600,2025-08-04 08:56:28,43.5567649534804,-5.62078869827957,0,,,86.531485380556,0,0,0.0229669298688,0.068627626868,19,5,17.021,86.531485380556,0,0,0.0229669298688,0,0,0,318.6, 2.7, 2.1,,,0,0,1024,1024,1024,1024,0,0,0,0,318.6,0,0,98,4.213,4.22,4.22,4.222,0,0,1.486,82.58,86.531485380556,0,10,Assisted_Takeoff,
1800,2025-08-04 08:56:28,43.556764936817,-5.62078868635823,0,,,86.531485380556,0,0,0.025405840708,0.0754757242,19,5,17.021,86.531485380556,0,0,0.025405840708,0,0,0,318.6, 2.7, 2.1,,,0,0,1024,1024,1024,1024,0,0,0,0,318.5,0,0,98,4.213,4.22,4.22,4.222,0,0,1.486,82.58,86.531485380556,0,10,Assisted_Takeoff,
2000,2025-08-04 08:56:28,43.5567649348514,-5.62078867297265,0,,,86.531485380556,0,0,0.0242327107492,0.079086944788,19,5,16.903,86.531485380556,0,0,0.025405840708,0,0,0,318.6, 2.7, 2.1,,,0,0,1024,1024,1024,1024,0,0,0,0,318.5,0,0,98,4.24,4.246,4.248,4.251,0,0,2.921,82.58,86.531485380556,0,10,Assisted_Takeoff,"Cambiado al modo-S (Sport)."
