time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
100,2025-08-04 09:24:14,43.556765107143,-5.62078884739067,0,Available with any HD 360 subscription,Available with any HD 360 subscription,86.203813125976,0,0,0,0,23,5,0,86.203813125976,0,0,0,0,0,0,310.8, 2.9, 2.1,Available with Enterprise subscription,,0,0,364,364,364,1684,-100,-100,-100,100,310.9,0,0,100,4.257,4.256,4.236,4.256,0,0,0,83.48,86.203813125976,0,41,Motors_Started,"Flying over vegetation."
300,2025-08-04 09:24:14,43.556765113057,-5.62078884016262,0,,,86.203813125976,0,0,0.00288238854368,0.00288238854368,23,5,0,86.203813125976,0,0,0.00288238854368,0,0,0,310.8, 2.9, 2.1,,,0,0,364,364,364,1684,-100,-100,-100,100,310.9,0,0,100,4.257,4.256,4.236,4.256,0,0,0,83.48,86.203813125976,0,41,Motors_Started,
500,2025-08-04 09:24:14,43.5567651272454,-5.62078883645752,0,,,86.203813125976,0,0,0.0078834976276,0.008150918896,23,5,0,86.203813125976,0,0,0.0078834976276,0,0,0,310.8, 2.9, 2.1,,,0,0,364,364,364,1684,-100,-100,-100,100,310.9,0,0,100,4.257,4.256,4.236,4.256,0,0,0,83.48,86.203813125976,0,41,Motors_Started,"Setting new Return-To-Home altitude to 25m (82 ft). Data Recorder File Index is 197. Setting new Maximum Flight Altitude to 45m (148 ft)"
700,2025-08-04 09:24:15,43.5567651311011,-5.62078884006407,0,,,86.203813125976,0,0,0.0089531827012,0.009850394016,23,5,0,86.203813125976,0,0,0.0089531827012,0,0,0,310.9, 2.9, 2.1,,,0,0,364,364,364,1684,-100,-100,-100,100,310.9,0,0,100,4.257,4.256,4.236,4.256,0,0,0,83.48,86.203813125976,0,41,Motors_Started,
900,2025-08-04 09:24:15,43.5567651451375,-5.62078882797003,0,,,86.203813125976,0,0,0.0147827760636,0.0158879270176,23,5,0,86.203813125976,0,0,0.0147827760636,0,0,0,310.9, 2.9, 2.1,,,0,0,364,364,364,1684,-100,-100,-100,100,310.9,0,0,100,4.257,4.256,4.236,4.256,0,0,0,83.48,86.203813125976,0,41,Motors_Started,
1100,2025-08-04 09:24:15,43.5567651420422,-5.62078881616791,0,,,86.203813125976,0,0,0.0151749676772,0.019206529486,24,5,17.125,86.203813125976,0,0,0.0151749676772,0,0,0,310.9, 2.9, 2.1,,,0,0,364,364,364,1684,-100,-100,-100,100,310.9,0,0,100,4.257,4.256,4.236,4.256,0,0,1.695,83.48,86.203813125976,0,41,Motors_Started,
1300,2025-08-04 09:24:15,43.5567651239802,-5.62078882204427,0,,,86.203813125976,0,0,0.0090911748316,0.0259771005688,24,5,17.125,86.203813125976,0,0,0.0151749676772,0,0,0,310.9, 2.9, 2.1,,,0,0,364,364,364,1684,-100,-100,-100,100,310.9,0,0,100,4.257,4.256,4.236,4.256,0,0,1.695,83.48,86.203813125976,0,41,Motors_Started,
1500,2025-08-04 09:24:15,43.5567651192269,-5.62078882415928,0,,,86.203813125976,0,0,0.0075609254388,0.0277992791048,24,5,17.125,86.203813125976,0,0,0.0151749676772,0,0,0,311, 2.9, 2.1,,,0,0,364,364,364,1684,-100,-100,-100,100,310.9,0,0,100,4.257,4.256,4.236,4.256,0,0,1.695,83.48,86.203813125976,0,41,Motors_Started,
1700,2025-08-04 09:24:16,43.5567651145797,-5.6207888243244,0,,,86.203813125976,0,0,0.0066751314472,0.0294953749596,24,5,17.125,86.203813125976,0,0,0.0151749676772,0,0,0,310.9, 2.9, 2.1,,,0,0,1024,1024,1024,1024,0,0,0,0,310.9,0,0,100,4.257,4.256,4.236,4.256,0,0,1.695,83.48,86.203813125976,0,10,Assisted_Takeoff,
1900,2025-08-04 09:24:16,43.5567651094227,-5.62078882157626,0,,,86.203813125976,0,0,0.0068759188552,0.0315123369664,24,5,17.125,86.203813125976,0,0,0.0151749676772,0,0,0,310.9, 2.9, 2.1,,,0,0,1024,1024,1024,1024,0,0,0,0,310.9,0,0,100,4.257,4.256,4.236,4.256,0,0,1.695,83.48,86.203813125976,0,10,Assisted_Takeoff,
