time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
6500,2025-07-30 08:19:03,43.5567617898904,-5.62078659654014,0,Available with any HD 360 subscription,Available with any HD 360 subscription,86.531485380556,0,0,0,0,24,5,0,86.531485380556,0,0,0,0,0,0,300, 1.9, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,299.9,0,0,95,4.178,4.182,4.182,4.186,0,0,0,83.66,86.531485380556,0,41,Motors_Started,
6700,2025-07-30 08:19:03,43.5567617657761,-5.62078660051541,0,,,86.531485380556,0,0,0.0088606302048,0.0088606302048,24,5,0,86.531485380556,0,0,0.0088606302048,0,0,0,300, 1.9, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,300,0,0,95,4.178,4.182,4.182,4.186,0,0,0,83.66,86.531485380556,0,41,Motors_Started,"Setting new Return-To-Home altitude to 25m (82 ft). Data Recorder File Index is 189. Setting new Maximum Flight Altitude to 45m (148 ft)"
6900,2025-07-30 08:19:03,43.556761768931,-5.62078659484354,0,,,86.531485380556,0,0,0.0076601708488,0.0107510830212,24,5,0,86.531485380556,0,0,0.0088606302048,0,0,0,300, 1.9, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,299.9,0,0,95,4.178,4.182,4.182,4.186,0,0,0,83.66,86.531485380556,0,41,Motors_Started,
7100,2025-07-30 08:19:03,43.5567618157407,-5.62078655429874,0,,,86.531485380556,0,0,0.014618274746,0.03091535532,24,5,16.76,86.531485380556,0,0,0.014618274746,0,0,0,300, 1.9, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,300,0,0,95,4.178,4.182,4.182,4.186,0,0,2.44,83.66,86.531485380556,0,41,Motors_Started,
7300,2025-07-30 08:19:03,43.5567618367531,-5.62078654625695,0,,,86.531485380556,0,0,0.0216585964936,0.038871064236,24,5,16.76,86.531485380556,0,0,0.0216585964936,0,0,0,299.9, 1.8, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,299.9,0,0,95,4.178,4.182,4.182,4.186,0,0,2.44,83.66,86.531485380556,0,41,Motors_Started,
7500,2025-07-30 08:19:04,43.5567618386525,-5.62078652311465,0,,,86.531485380556,0,0,0.0263328092416,0.045029200916,24,5,16.76,86.531485380556,0,0,0.0263328092416,0,0,0,300, 1.8, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,300,0,0,95,4.178,4.182,4.182,4.186,0,0,2.44,83.66,86.531485380556,0,41,Motors_Started,
7700,2025-07-30 08:19:04,43.5567618448408,-5.62078650956491,0,,,86.531485380556,0,0,0.0305088264356,0.049263781104,24,5,16.76,86.531485380556,0,0,0.0305088264356,0,0,0,299.9, 1.8, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,300,0,0,95,4.178,4.182,4.182,4.186,0,0,2.44,83.66,86.531485380556,0,41,Motors_Started,
7900,2025-07-30 08:19:04,43.556761852001,-5.6207864907927,0,,,86.531485380556,0,0,0.035990158632,0.054872705168,24,5,16.76,86.531485380556,0,0,0.035990158632,0,0,0,299.9, 1.8, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,299.9,0,0,95,4.178,4.182,4.182,4.186,0,0,2.44,83.66,86.531485380556,0,41,Motors_Started,
8100,2025-07-30 08:19:04,43.5567618736236,-5.62078648272817,0,,,86.531485380556,0,0,0.042881891136,0.063044949524,24,5,16.751,86.531485380556,0,0,0.042881891136,0,0,0,299.9, 1.8, 2.5,0,0,991,947,951,1024,-5,-12,-11,0,299.9,0,0,95,4.195,4.201,4.204,4.208,0,0,4.513,83.66,86.531485380556,0,10,Assisted_Takeoff,
8300,2025-07-30 08:19:04,43.5567618529884,-5.62078651192787,0,,,86.531485380556,0,0,0.0321010180876,0.073828414436,24,5,16.751,86.531485380556,0,0,0.042881891136,0,0,0,300, 1.8, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,300,0,0,95,4.195,4.201,4.204,4.208,0,0,4.513,83.66,86.531485380556,0,10,Assisted_Takeoff,
8500,2025-07-30 08:19:05,43.5567618577411,-5.62078651244305,0,,,86.531485380556,0,0,0.033275263532,0.075567915804,24,5,16.751,86.531485380556,0,0,0.042881891136,0,0,0,300, 1.8, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,300,0,0,95,4.195,4.201,4.204,4.208,0,0,4.513,83.66,86.531485380556,0,10,Assisted_Takeoff,
8700,2025-07-30 08:19:05,43.5567618413829,-5.62078650928183,0,,,86.531485380556,0,0,0.0297529865164,0.0815944908,24,5,16.751,86.531485380556,0,0,0.042881891136,0,0,0,299.9, 1.8, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,300,0,0,95,4.195,4.201,4.204,4.208,0,0,4.513,83.66,86.531485380556,0,10,Assisted_Takeoff,
8900,2025-07-30 08:19:05,43.5567618431969,-5.6207865020163,0,,,86.531485380556,0,0,0.0316682752916,0.083626315012,24,5,16.751,86.531485380556,0,0,0.042881891136,0,0,0,299.9, 1.8, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,300,0,0,95,4.195,4.201,4.204,4.208,0,0,4.513,83.66,86.531485380556,0,10,Assisted_Takeoff,
9100,2025-07-30 08:19:05,43.5567618433814,-5.6207865042808,0,,,86.531485380556,0,0,0.0312399288212,0.08422900532,24,5,16.751,86.531485380556,0,0,0.042881891136,0,0,0,299.9, 1.8, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,300,0,0,95,4.195,4.201,4.204,4.208,0,0,4.513,83.66,86.531485380556,0,10,Assisted_Takeoff,
9300,2025-07-30 08:19:05,43.5567618441245,-5.62078650565896,0,,,86.531485380556,0,0,0.0311278553268,0.084683073576,24,5,16.827,86.531485380556,0,0,0.042881891136,0,0,0,299.9, 1.8, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,299.9,0,0,95,4.2,4.207,4.207,4.211,0,0,2.118,83.84,86.531485380556,0,10,Assisted_Takeoff,
9500,2025-07-30 08:19:06,43.5567618466842,-5.62078651888146,0,,,86.531485380556,0,0,0.02917158886,0.088301840096,24,5,16.827,86.531485380556,0,0,0.042881891136,0,0,0,299.9, 1.8, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,300,0,0,95,4.2,4.207,4.207,4.211,0,0,2.118,83.84,86.531485380556,0,10,Assisted_Takeoff,
9700,2025-07-30 08:19:06,43.556761845072,-5.62078651901674,0,,,86.531485380556,0,0,0.0287312017068,0.08889107896,24,5,16.827,86.531485380556,0,0,0.042881891136,0,0,0,300, 1.8, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,300,0,0,95,4.2,4.207,4.207,4.211,0,0,2.118,83.84,86.531485380556,0,10,Assisted_Takeoff,
9900,2025-07-30 08:19:06,43.5567618498904,-5.62078653169942,0,,,86.531485380556,0,0,0.0278053158504,0.09267716832,24,5,16.827,86.531485380556,0,0,0.042881891136,0,0,0,300, 1.8, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,300,0,0,95,4.2,4.207,4.207,4.211,0,0,2.118,83.84,86.531485380556,0,10,Assisted_Takeoff,
10100,2025-07-30 08:19:06,43.5567618714975,-5.62078652770597,0,,,86.531485380556,0,0,0.034896326576,0.100630908732,24,5,16.827,86.531485380556,0,0,0.042881891136,0,0,0,300, 1.8, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,300,0,0,95,4.2,4.207,4.207,4.211,0,0,2.118,83.84,86.531485380556,0,10,Assisted_Takeoff,
10300,2025-07-30 08:19:06,43.5567618571346,-5.62078653083717,0,,,86.531485380556,0,0,0.0300617463688,0.105936355096,24,5,16.826,86.531485380556,0,0,0.042881891136,0,0,0,300, 1.8, 2.5,0,0,1195,1024,1024,1024,26,0,0,0,300,0,0,95,4.2,4.207,4.207,4.211,0,0,2.103,83.84,86.531485380556,0,10,Assisted_Takeoff,
10500,2025-07-30 08:19:07,43.5567618541349,-5.62078652942659,0,,,86.531485380556,0,0,0.0293989838804,0.107092523112,24,5,16.826,86.531485380556,0,0,0.042881891136,0,0,0,300, 1.8, 2.5,0,0,1628,1024,1024,1024,92,0,0,0,300,0,0,95,4.2,4.207,4.207,4.211,0,0,2.103,83.84,86.531485380556,0,10,Assisted_Takeoff,
10700,2025-07-30 08:19:07,43.5567618243116,-5.62078653541167,0,,,86.531485380556,0,0,0.020468176508,0.118087930288,24,5,16.826,86.531485380556,0,0,0.042881891136,0,0,0,300, 1.7, 2.6,0,0,1684,1024,1024,1024,100,0,0,0,300,0,0,95,4.2,4.207,4.207,4.211,0,0,2.103,83.84,86.531485380556,0,10,Assisted_Takeoff,
10900,2025-07-30 08:19:07,43.5567618153841,-5.62078653698184,0,,,86.531485380556,0,0,0.0182892722388,0.12137139496,24,5,16.826,86.531485380556,0,0,0.042881891136,0,0,0,300, 1.4, 2.6,0,0,1684,1024,1024,1024,100,0,0,0,300,0,0,95,4.2,4.207,4.207,4.211,0,0,2.103,83.84,86.531485380556,0,10,Assisted_Takeoff,
11100,2025-07-30 08:19:07,43.5567619105583,-5.62078654107775,0,,,86.531485380556,0,0.223694,0.046403544792,0.156112537804,24,5,16.826,86.531485380556,0,0.223694,0.046403544792,0.223694,0,-0.223694,299.5, -3.7, 1.8,0,0,1684,1024,1024,1024,100,0,0,0,300,0,0,95,4.2,4.207,4.207,4.211,0,0,2.103,83.84,86.531485380556,0,10,Assisted_Takeoff,
11300,2025-07-30 08:19:08,43.5567622218092,-5.62078666426768,0,,,86.531485380556,0.328084,0.447388,0.158599414524,0.274251321112,24,5,16.786,86.531485380556,0,0.447388,0.158599414524,0.447388,0,-1.342164,299.7, 0.6, -1.5,0,0,1684,1024,1024,1024,100,0,0,0,300,0,0,95,4.175,4.178,4.174,4.175,0,0,2.538,83.84,86.531485380556,0,6,P-GPS,
11500,2025-07-30 08:19:08,43.5567624745948,-5.62078686700759,0.656168,,,87.187653380556,0.984252,0.223694,0.259848105428,0.38092520904,24,5,16.786,87.187653380556,0.656168,0.447388,0.259848105428,0.223694,0,-2.684328,299.5, 3.3, -2.2,0,0,1683,1024,1024,1024,100,0,0,0,300,0,0,95,4.175,4.178,4.174,4.175,0,0,2.538,83.84,87.187653380556,0.656168,6,P-GPS,
11700,2025-07-30 08:19:08,43.5567625120094,-5.6207868671491,1.968504,,,88.499989380556,2.296588,0,0.273007554668,0.39457678428,24,5,16.786,88.499989380556,1.968504,0.447388,0.273007554668,0,0,-4.47388,299.4, 1.1, -1.2,0,0,1682,1024,1024,1024,100,0,0,0,300,0,0,95,4.175,4.178,4.174,4.175,0,0,2.538,83.84,88.499989380556,1.968504,6,P-GPS,
11900,2025-07-30 08:19:08,43.556762478087,-5.62078667568332,3.28084,,,89.812325380556,3.937008,0,0.25195866948,0.44669292768,24,5,16.786,89.812325380556,3.28084,0.447388,0.273007554668,0,0,-6.263432,299.6, -1.2, -0.8,0,0,1682,1024,1024,1024,100,0,0,0,300,0,0,95,4.175,4.178,4.174,4.175,0,0,2.538,83.84,89.812325380556,3.28084,6,P-GPS,
12100,2025-07-30 08:19:08,43.5567624098382,-5.62078662857524,5.577428,,,92.108913380556,6.233596,0,0.226346135852,0.47453413592,24,5,16.786,92.108913380556,5.577428,0.447388,0.273007554668,0,0,-8.500372,299.8, 0.3, -0.7,0,0,1672,1024,1024,1024,98,0,0,0,300,0,0,95,4.175,4.178,4.174,4.175,0,0,2.538,83.84,92.108913380556,5.577428,6,P-GPS,
12300,2025-07-30 08:19:08,43.5567621380998,-5.62078664375618,8.858268,,,95.389753380556,8.858268,0,0.12765584398,0.57375986088,24,5,16.338,95.389753380556,8.858268,0.447388,0.273007554668,0,0,-10.737312,299.8, 0, 1.3,0,0,1559,1024,1024,1024,81,0,0,0,300,0,0,94,4.065,4.064,4.06,4.063,0,0,10.718,83.84,95.389753380556,8.858268,6,P-GPS,
12500,2025-07-30 08:19:09,43.5567619736086,-5.62078665692807,12.139108,,,98.670593380556,12.139108,0,0.068904857848,0.6338746922,24,5,16.338,98.670593380556,12.139108,0.447388,0.273007554668,0,0,-12.30317,299.9, 0.9, 1.3,0,0,1509,1024,1024,1024,73,0,0,0,300,0,0,94,4.065,4.064,4.06,4.063,0,0,10.718,83.84,98.670593380556,12.139108,6,P-GPS,
12700,2025-07-30 08:19:09,43.5567617700545,-5.62078666483897,16.4042,,,102.93568538056,15.748032,0,0.0194546594152,0.708169314,24,5,16.338,102.93568538056,16.4042,0.447388,0.273007554668,0,0,-11.632088,300, -0.3, 1.1,0,0,1684,1024,1024,1024,100,0,0,0,300,0,0,94,4.065,4.064,4.06,4.063,0,0,10.718,83.84,102.93568538056,16.4042,6,P-GPS,
12900,2025-07-30 08:19:09,43.5567616666143,-5.62078660291848,19.68504,,,106.21652538056,18.700788,0,0.045008859708,0.74930776676,24,5,16.338,106.21652538056,19.68504,0.447388,0.273007554668,0,0,-10.961006,299.9, -0.6, 1.3,0,0,1684,1024,1024,1024,100,0,0,0,300,0,0,94,4.065,4.064,4.06,4.063,0,0,10.718,83.84,106.21652538056,19.68504,6,P-GPS,
13100,2025-07-30 08:19:09,43.5567616447336,-5.62078654624401,22.96588,,,109.49736538056,21.981628,0,0.054604332456,0.7662893946,24,5,16.338,109.49736538056,22.96588,0.447388,0.273007554668,0,0,-12.079476,299.9, -1.1, 1.6,0,0,1684,1024,1024,1024,100,0,0,0,300,0,0,94,4.065,4.064,4.06,4.063,0,0,10.718,83.84,109.49736538056,22.96588,6,P-GPS,
13300,2025-07-30 08:19:09,43.5567617344968,-5.62078642887187,26.574804,,,113.10628938056,25.590552,0,0.048721458252,0.81140750628,24,5,16.383,113.10628938056,26.574804,0.447388,0.273007554668,0,0,-12.974252,299.8, -0.5, 0.8,0,0,1684,1024,1024,1024,100,0,0,0,300,0,0,94,4.125,4.09,4.069,4.067,0,0,14.773,83.84,113.10628938056,26.574804,6,P-GPS,
